Year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,genre1,genre2,genre3,release_date_tn,domestic_gross,worldwide_gross,budget
2010,Hereafter,tt1212419,Hereafter,129.0,"Drama,Fantasy,Romance",6.5,87288.0,en,Hereafter,2010-10-22,Drama,Fantasy,Romance,"Oct 15, 2010","$32,746,941","$108,660,270",50000000.0
2010,Hot Tub Time Machine,tt1231587,Hot Tub Time Machine,101.0,"Comedy,Sci-Fi",6.4,153962.0,en,Hot Tub Time Machine,2010-03-26,Comedy,Sci-Fi,,"Mar 26, 2010","$50,269,859","$65,967,750",8000000.0
2010,How to Train Your Dragon,tt0892769,How to Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,611299.0,en,How to Train Your Dragon,2010-03-26,Action,Adventure,Animation,"Mar 26, 2010","$217,581,232","$494,870,992",165000000.0
2010,I Spit on Your Grave,tt1242432,I Spit on Your Grave,108.0,"Horror,Thriller",6.3,68592.0,en,I Spit on Your Grave,2010-10-08,Horror,Thriller,,"Oct 8, 2010","$93,051","$1,278,471",2000000.0
2010,I Want Your Money,tt1560957,I Want Your Money,92.0,Documentary,5.1,1244.0,en,I Want Your Money,2010-07-06,Documentary,,,"Oct 15, 2010","$433,588","$433,588",400000.0
2010,Icarus,tt8852552,Icarus,78.0,Thriller,,,en,Icarus,2010-09-10,Thriller,,,"Feb 9, 2010",$0,$0,6000000.0
2010,Incendies,tt1255953,Incendies,131.0,"Drama,Mystery,War",8.3,124156.0,fr,Incendies,2010-09-04,Drama,Mystery,War,"Sep 17, 2010","$6,857,096","$16,038,343",6500000.0
2010,Inception,tt1375666,Inception,148.0,"Action,Adventure,Sci-Fi",8.8,1841066.0,en,Inception,2010-07-16,Action,Adventure,Sci-Fi,"Jul 16, 2010","$292,576,195","$835,524,642",160000000.0
2010,Inside Job,tt1645089,Inside Job,109.0,"Crime,Documentary",8.3,65304.0,en,Inside Job,2010-10-08,Crime,Documentary,,"Oct 8, 2010","$4,311,834","$7,799,257",2000000.0
2010,Iron Man 2,tt1228705,Iron Man 2,124.0,"Action,Adventure,Sci-Fi",7.0,657690.0,en,Iron Man 2,2010-05-07,Action,Adventure,Sci-Fi,"May 7, 2010","$312,433,331","$621,156,389",200000000.0
2010,It's Kind of a Funny Story,tt0804497,It's Kind of a Funny Story,101.0,"Comedy,Drama,Romance",7.1,125583.0,en,It's Kind of a Funny Story,2010-10-08,Comedy,Drama,Romance,"Oct 8, 2010","$6,363,628","$6,632,950",8000000.0
2010,It's a Wonderful Afterlife,tt1319716,It's a Wonderful Afterlife,100.0,"Comedy,Drama,Fantasy",5.4,1361.0,en,Hai Marjawaan!,2010-10-08,Comedy,Drama,Fantasy,"Oct 8, 2010",$0,"$1,642,939","$10,000,000"
2010,Jackass 3D,tt1116184,Jackass 3D,95.0,"Action,Comedy,Documentary",7.0,53289.0,en,Jackass 3D,2010-10-15,Action,Comedy,Documentary,"Oct 15, 2010","$117,229,692","$171,685,793",20000000.0
2010,Jonah Hex,tt1075747,Jonah Hex,81.0,"Action,Drama,Fantasy",4.7,51860.0,en,Jonah Hex,2010-06-18,Action,Drama,Fantasy,"Jun 18, 2010","$10,547,117","$11,022,696","$47,000,000"
2010,Just Wright,tt1407061,Just Wright,100.0,"Comedy,Romance,Sport",5.9,12466.0,en,Just Wright,2010-05-14,Comedy,Romance,Sport,"May 14, 2010","$21,540,363","$21,867,665",12000000.0
2010,Kick-Ass,tt1250777,Kick-Ass,117.0,"Action,Comedy",7.6,497363.0,en,Kick-Ass,2010-04-16,Action,Comedy,,"Apr 16, 2010","$48,071,303","$97,531,134",30000000.0
2010,Killers,tt1103153,Killers,100.0,"Action,Comedy,Romance",5.4,82237.0,en,Killers,2010-06-04,Action,Comedy,Romance,"Jun 4, 2010","$47,059,963","$95,572,749",75000000.0
2010,Kites,tt1198101,Kites,123.0,"Action,Drama,Romance",6.1,11353.0,hi,Kites,2010-05-21,Action,Drama,Romance,"May 21, 2010","$1,685,269","$17,155,193","$9,200,000"
2010,Knight and Day,tt1013743,Knight and Day,109.0,"Action,Adventure,Comedy",6.3,169840.0,en,Knight and Day,2010-06-23,Action,Adventure,Comedy,"Jun 23, 2010","$76,423,035","$258,751,370",117000000.0
2010,Leap Year,tt1216492,Leap Year,100.0,"Comedy,Romance",6.5,86125.0,en,Leap Year,2010-01-08,Comedy,Romance,,"Jan 8, 2010","$25,918,920","$32,618,920",19000000.0
2010,Leap Year,tt1537401,Año bisiesto,94.0,"Drama,Romance",5.9,2211.0,en,Leap Year,2010-01-08,Drama,Romance,,"Jan 8, 2010","$25,918,920","$32,618,920",19000000.0
2010,Legend of the Guardians: The Owls of Ga'Hoole,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,73790.0,en,Legend of the Guardians: The Owls of Ga'Hoole,2010-09-24,Action,Adventure,Animation,"Sep 24, 2010","$55,675,313","$139,716,717",80000000.0
2010,Legion,tt1038686,Legion,100.0,"Action,Fantasy,Horror",5.2,92709.0,en,Legion,2010-01-22,Action,Fantasy,Horror,"Jan 22, 2010","$40,168,080","$67,647,574",26000000.0
2010,Let Me In,tt1228987,Let Me In,116.0,"Drama,Fantasy,Horror",7.1,107012.0,en,Let Me In,2010-10-01,Drama,Fantasy,Horror,"Oct 1, 2010","$12,134,935","$28,270,399",20000000.0
2010,Letters to God,tt1462054,Letters to God,110.0,"Drama,Family",6.3,4443.0,en,Letters to God,2010-04-09,Drama,Family,,"Apr 9, 2010","$2,848,587","$3,237,452",4000000.0
2010,Letters to Juliet,tt0892318,Letters to Juliet,105.0,"Adventure,Comedy,Drama",6.6,86137.0,en,Letters to Juliet,2010-05-14,Adventure,Comedy,Drama,"May 14, 2010","$53,032,453","$82,148,538",30000000.0
2010,Little Fockers,tt0970866,Little Fockers,98.0,"Comedy,Romance",5.5,99222.0,en,Little Fockers,2010-12-21,Comedy,Romance,,"Dec 22, 2010","$148,438,600","$310,650,574",100000000.0
2010,Lottery Ticket,tt0979434,Lottery Ticket,99.0,Comedy,5.0,10042.0,en,Lottery Ticket,2010-08-20,Comedy,,,"Aug 20, 2010","$24,719,879","$24,719,879",17000000.0
2010,Love Ranch,tt1125929,Love Ranch,117.0,"Biography,Comedy,Drama",5.6,2742.0,en,Love Ranch,2010-06-30,Biography,Comedy,Drama,"Jun 30, 2010","$137,885","$146,149",25000000.0
2010,MacGruber,tt1470023,MacGruber,90.0,"Action,Comedy,Romance",5.5,39782.0,en,MacGruber,2010-05-21,Action,Comedy,Romance,"May 21, 2010","$8,525,600","$8,629,895",10000000.0
2010,Machete,tt0985694,Machete,105.0,"Action,Crime,Thriller",6.6,182320.0,en,Machete,2010-09-03,Action,Crime,Thriller,"Sep 3, 2010","$26,593,646","$46,370,970",10500000.0
2010,Made in Dagenham,tt1371155,Made in Dagenham,113.0,"Biography,Comedy,Drama",7.2,13121.0,en,Made in Dagenham,2010-11-19,Biography,Comedy,Drama,"Nov 19, 2010","$1,095,369","$15,644,196","$8,000,000"
2010,Marmaduke,tt1392197,Marmaduke,87.0,"Comedy,Family",4.2,13283.0,en,Marmaduke,2010-06-04,Comedy,Family,,"Jun 4, 2010","$33,644,788","$89,895,930",50000000.0
2010,Megamind,tt1001526,Megamind,95.0,"Action,Animation,Comedy",7.3,207488.0,en,Megamind,2010-11-04,Action,Animation,Comedy,"Nov 5, 2010","$148,415,853","$321,887,208",130000000.0
2010,Monsters,tt1470827,Monsters,94.0,"Drama,Sci-Fi,Thriller",6.4,84332.0,en,Monsters,2010-10-29,Drama,Sci-Fi,Thriller,"Oct 29, 2010","$237,301","$5,639,730",500000.0
2010,Morning Glory,tt1126618,Morning Glory,107.0,"Comedy,Drama,Romance",6.5,67367.0,en,Morning Glory,2010-11-10,Comedy,Drama,Romance,"Nov 10, 2010","$31,011,732","$59,795,070",40000000.0
2010,My Girlfriend's Boyfriend,tt1447793,My Girlfriend's Boyfriend,84.0,"Comedy,Romance",5.8,5461.0,en,My Girlfriend's Boyfriend,2010-04-22,Comedy,Romance,,"May 1, 2010",$0,$0,1400000.0
2010,My Soul to Take,tt0872230,My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,18381.0,en,My Soul to Take,2010-10-08,Horror,Mystery,Thriller,"Oct 8, 2010","$14,744,435","$16,727,470",25000000.0
2010,N-Secure,tt1289419,N-Secure,105.0,"Crime,Drama,Thriller",3.6,587.0,en,N-Secure,2010-10-15,Crime,Drama,Thriller,"Oct 15, 2010","$2,595,644","$2,595,644",1600000.0
2010,Never Let Me Go,tt1334260,Never Let Me Go,103.0,"Drama,Romance,Sci-Fi",7.1,130084.0,en,Never Let Me Go,2010-09-15,Drama,Romance,Sci-Fi,"Sep 15, 2010","$2,434,652","$11,173,718",15000000.0
2010,Our Family Wedding,tt1305583,Our Family Wedding,103.0,"Comedy,Romance",4.9,6417.0,en,Our Family Wedding,2010-03-12,Comedy,Romance,,"Mar 12, 2010","$20,255,281","$21,410,546","$14,000,000"
2010,Paranormal Activity 2,tt1536044,Paranormal Activity 2,91.0,Horror,5.7,93122.0,en,Paranormal Activity 2,2010-10-21,Horror,,,"Oct 20, 2010","$84,752,907","$177,512,032",3000000.0
2010,Percy Jackson & the Olympians: The Lightning Thief,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,118.0,"Adventure,Family,Fantasy",5.9,165108.0,en,Percy Jackson & the Olympians: The Lightning Thief,2010-02-11,Adventure,Family,Fantasy,"Feb 12, 2010","$88,768,303","$223,050,874","$95,000,000"
2010,Piranha 3D,tt0464154,Piranha 3D,88.0,"Comedy,Horror",5.4,81327.0,en,Piranha 3D,2010-08-20,Comedy,Horror,,"Aug 20, 2010","$25,003,155","$83,660,160",24000000.0
2010,Please Give,tt0878835,Please Give,87.0,"Comedy,Drama",6.6,10652.0,en,Please Give,2010-01-22,Comedy,Drama,,"Apr 30, 2010","$4,033,574","$4,570,178",3000000.0
2010,Predators,tt1424381,Predators,107.0,"Action,Adventure,Sci-Fi",6.4,199764.0,en,Predators,2010-07-03,Action,Adventure,Sci-Fi,"Jul 9, 2010","$52,000,688","$127,234,389",40000000.0
2010,Rabbit Hole,tt0935075,Rabbit Hole,91.0,Drama,7.0,45357.0,en,Rabbit Hole,2010-12-16,Drama,,,"Dec 17, 2010","$2,229,058","$6,205,034",3000000.0
2010,Ramona and Beezus,tt0493949,Ramona and Beezus,103.0,"Adventure,Comedy,Family",6.6,16086.0,en,Ramona and Beezus,2010-07-23,Adventure,Comedy,Family,"Jul 23, 2010","$26,167,002","$27,469,621",15000000.0
2010,Remember Me,tt1403981,Remember Me,113.0,"Drama,Romance",7.1,129443.0,en,Remember Me,2010-03-12,Drama,Romance,,"Mar 12, 2010","$19,068,240","$56,506,120",16000000.0
2010,Repo Men,tt1053424,Repo Men,111.0,"Action,Crime,Sci-Fi",6.3,96144.0,en,Repo Men,2010-03-19,Action,Crime,Sci-Fi,"Mar 19, 2010","$13,942,007","$18,195,238",32000000.0
2010,Resident Evil: Afterlife,tt1220634,Resident Evil: Afterlife,96.0,"Action,Adventure,Horror",5.9,153270.0,en,Resident Evil: Afterlife,2010-09-10,Action,Adventure,Horror,"Sep 10, 2010","$60,128,566","$295,874,190",60000000.0
2010,Robin Hood,tt0955308,Robin Hood,140.0,"Action,Adventure,Drama",6.6,239480.0,en,Robin Hood,2010-05-14,Action,Adventure,Drama,"May 14, 2010","$105,487,148","$322,459,006",200000000.0
2010,Rust,tt1360826,Rust,95.0,Drama,5.6,404.0,en,Rust,2010-10-07,Drama,,,"Oct 5, 2010",$0,$0,"$250,000"
2010,Salt,tt0944835,Salt,100.0,"Action,Mystery,Thriller",6.4,277204.0,en,Salt,2010-07-23,Action,Mystery,Thriller,"Jul 23, 2010","$118,311,368","$290,650,494",110000000.0
2010,Sea Rex 3D: Journey to a Prehistoric World,tt1529567,Sea Rex 3D: Journey to a Prehistoric World,41.0,Documentary,6.9,364.0,en,Sea Rex 3D: Journey to a Prehistoric World,2010-05-14,Documentary,,,"May 28, 2010","$6,096,582","$16,515,203","$5,000,000"
2010,Secretariat,tt1028576,Secretariat,123.0,"Biography,Drama,Family",7.2,24536.0,en,Secretariat,2010-10-08,Biography,Drama,Family,"Oct 8, 2010","$59,699,513","$60,376,247",35000000.0
2010,Sex and the City 2,tt1261945,Sex and the City 2,146.0,"Comedy,Drama,Romance",4.4,69199.0,en,Sex and the City 2,2010-05-27,Comedy,Drama,Romance,"May 27, 2010","$95,347,692","$294,680,778",95000000.0
2010,She's Out of My League,tt0815236,She's Out of My League,104.0,"Comedy,Romance",6.4,117245.0,en,She's Out of My League,2010-03-12,Comedy,Romance,,"Mar 12, 2010","$32,010,860","$48,680,977",20000000.0
2010,Shrek Forever After,tt0892791,Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,167532.0,en,Shrek Forever After,2010-05-16,Adventure,Animation,Comedy,"May 21, 2010","$238,736,787","$756,244,673",165000000.0
2010,Shutter Island,tt1130884,Shutter Island,138.0,"Mystery,Thriller",8.1,1005960.0,en,Shutter Island,2010-02-18,Mystery,Thriller,,"Feb 19, 2010","$128,012,934","$299,461,782",80000000.0
2010,Skyline,tt1564585,Skyline,92.0,"Action,Sci-Fi,Thriller",4.4,83710.0,en,Skyline,2010-11-12,Action,Sci-Fi,Thriller,"Nov 12, 2010","$21,416,355","$68,264,973",20000000.0
2010,Somewhere,tt1421051,Somewhere,97.0,"Comedy,Drama",6.3,40250.0,en,Somewhere,2010-12-22,Comedy,Drama,,"Dec 22, 2010","$1,785,645","$17,023,121",7000000.0
2010,Standing Ovation,tt1303803,Standing Ovation,105.0,Musical,3.3,658.0,en,Standing Ovation,2010-07-16,Musical,,,"Jul 16, 2010","$531,806","$531,806",5600000.0
2010,Step Up 3D,tt1193631,Step Up 3D,107.0,"Drama,Music,Romance",6.2,53081.0,en,Step Up 3D,2010-08-06,Drama,Music,Romance,"Aug 6, 2010","$42,400,223","$165,889,117",30000000.0
2010,Stone,tt1423995,Stone,105.0,"Drama,Thriller",5.4,38667.0,en,Stone,2010-10-22,Drama,Thriller,,"Oct 8, 2010","$1,810,078","$4,065,020",22000000.0
2010,Takers,tt1135084,Takers,107.0,"Action,Crime,Thriller",6.2,53377.0,en,Takers,2010-08-26,Action,Crime,Thriller,"Aug 27, 2010","$57,744,720","$70,587,268",32000000.0
2010,Tangled,tt0398286,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366.0,en,Tangled,2010-11-24,Adventure,Animation,Comedy,"Nov 24, 2010","$200,821,936","$586,477,240",260000000.0
2010,The A-Team,tt0429493,The A-Team,117.0,"Action,Adventure,Thriller",6.8,235256.0,en,The A-Team,2010-06-11,Action,Adventure,Thriller,"Jun 11, 2010","$77,222,099","$177,241,171",110000000.0
2010,The American,tt1440728,The American,105.0,"Crime,Drama,Thriller",6.3,86863.0,en,The American,2010-09-01,Crime,Drama,Thriller,"Sep 1, 2010","$35,606,376","$67,950,723",20000000.0
2010,The Book of Eli,tt1037705,The Book of Eli,118.0,"Action,Adventure,Drama",6.9,271307.0,en,The Book of Eli,2010-01-11,Action,Adventure,Drama,"Jan 15, 2010","$94,835,059","$158,750,817",80000000.0
