start_year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,studio,domestic_gross_imdb,foreign_gross,id,release_date_tn,production_budget,domestic_gross_tn,worldwide_gross,budget_wiki
2013,Here Be Dragons,tt3158416,Here Be Dragons,79.0,Documentary,6.9,39.0,en,Here Be Dragons,2013-08-30,,,,,,,,,Unknown
2013,Heterosexual Jill,tt1278073,Heterosexual Jill,80.0,Comedy,5.3,116.0,en,Heterosexual Jill,2013-06-26,,,,,,,,,Unknown
2013,Hey Bartender,tt2678448,Hey Bartender,92.0,Documentary,6.4,326.0,en,Hey Bartender,2013-06-07,,,,,,,,,Unknown
2013,Hide and Seek,tt3155654,Sum-bakk-og-jil,107.0,"Action,Horror,Mystery",6.4,1287.0,en,Kakurenbo,2013-08-19,,,,,,,,,Unknown
2013,Highland Park,tt1506998,Highland Park,83.0,"Comedy,Drama",5.7,379.0,en,Highland Park,2013-06-08,,,,,,,,,Unknown
2013,Holy Ghost People,tt2298224,Holy Ghost People,88.0,"Drama,Thriller",5.2,975.0,en,Holy Ghost People,2013-03-10,,,,,,,,,Unknown
2013,Home,tt2372760,Hemma,90.0,"Drama,Romance",6.8,306.0,en,Home,2013-11-22,,,,,,,,,Unknown
2013,Home,tt2393825,Home,112.0,Drama,7.0,140.0,en,Home,2013-11-22,,,,,,,,,Unknown
2013,Home,tt2821866,Home,92.0,Drama,,,en,Home,2013-11-22,,,,,,,,,Unknown
2013,Home Run,tt2051894,Home Run,113.0,"Drama,Sport",6.0,2745.0,en,Home Run,2013-04-19,,,,66.0,"Apr 19, 2013","$1,200,000","$2,859,955","$2,859,955",Unknown
2013,Homebound,tt2411218,Homebound,105.0,"Drama,Family,Romance",7.8,80.0,en,Homebound,2013-08-21,,,,,,,,,Unknown
2013,Homefront,tt2312718,Homefront,100.0,"Action,Thriller",6.5,98549.0,en,Homefront,2013-11-27,ORF,20200000.0,22900000,29.0,"Nov 27, 2013","$22,000,000","$20,158,492","$51,695,362",22000000
